ts,pan_cmd_deg,tilt_cmd_deg,mean_cx,mean_cy,err_x_px,err_y_px,W,H,n_dets
2025-10-16T15:42:41.777,63.917,3.933,482.500,1272.500,813.500,-300.500,2592,1944,1
2025-10-16T15:42:41.971,63.917,3.933,482.500,1272.500,813.500,-300.500,2592,1944,1
2025-10-16T15:42:42.290,63.917,3.933,1191.000,956.000,105.000,16.000,2592,1944,1
2025-10-16T15:42:42.586,63.917,3.933,1191.000,956.000,105.000,16.000,2592,1944,1
2025-10-16T15:42:42.858,63.917,3.933,1311.000,952.500,-15.000,19.500,2592,1944,1
2025-10-16T15:42:43.026,64.606,4.867,1311.000,952.500,-15.000,19.500,2592,1944,1
2025-10-16T15:42:43.351,65.294,5.802,1311.000,952.500,-15.000,19.500,2592,1944,1
2025-10-16T15:42:43.531,65.294,5.802,1311.000,952.500,-15.000,19.500,2592,1944,1
2025-10-16T15:42:43.933,64.722,5.850,1283.500,971.000,12.500,1.000,2592,1944,1
2025-10-16T15:42:44.207,64.149,5.897,1283.500,971.000,12.500,1.000,2592,1944,1
2025-10-16T15:42:44.557,63.783,5.778,1288.000,974.500,8.000,-2.500,2592,1944,1
2025-10-16T15:42:44.687,63.783,5.778,1288.000,974.500,8.000,-2.500,2592,1944,1
2025-10-16T15:42:45.154,63.829,5.682,1297.000,974.000,-1.000,-2.000,2592,1944,1
2025-10-16T15:42:45.284,63.829,5.682,1297.000,974.000,-1.000,-2.000,2592,1944,1
2025-10-16T15:42:45.616,64.470,5.562,1310.000,974.500,-14.000,-2.500,2592,1944,1
2025-10-16T15:42:45.720,64.470,5.562,1310.000,974.500,-14.000,-2.500,2592,1944,1
2025-10-16T15:42:46.023,65.111,5.442,1310.000,974.500,-14.000,-2.500,2592,1944,1
2025-10-16T15:42:46.249,65.111,5.442,1310.000,974.500,-14.000,-2.500,2592,1944,1
2025-10-16T15:42:46.536,64.539,5.346,1283.500,974.000,12.500,-2.000,2592,1944,1
2025-10-16T15:42:46.770,64.539,5.346,1283.500,974.000,12.500,-2.000,2592,1944,1
2025-10-16T15:42:47.080,64.264,5.227,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:47.332,63.988,5.107,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:47.695,63.713,4.987,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:47.912,63.713,4.987,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:48.241,64.470,4.939,1312.500,973.000,-16.500,-1.000,2592,1944,1
2025-10-16T15:42:48.386,64.470,4.939,1312.500,973.000,-16.500,-1.000,2592,1944,1
2025-10-16T15:42:48.751,65.227,5.370,1312.500,963.000,-16.500,9.000,2592,1944,1
2025-10-16T15:42:48.917,65.227,5.370,1312.500,963.000,-16.500,9.000,2592,1944,1
2025-10-16T15:42:49.209,64.929,5.730,1289.500,964.500,6.500,7.500,2592,1944,1
2025-10-16T15:42:49.459,64.631,6.089,1289.500,964.500,6.500,7.500,2592,1944,1
2025-10-16T15:42:49.771,64.356,5.969,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:49.998,64.356,5.969,1290.000,974.500,6.000,-2.500,2592,1944,1
2025-10-16T15:42:50.284,64.105,5.490,1290.500,982.000,5.500,-10.000,2592,1944,1
2025-10-16T15:42:50.536,63.853,5.011,1290.500,982.000,5.500,-10.000,2592,1944,1
2025-10-16T15:42:50.944,63.577,4.604,1290.000,980.500,6.000,-8.500,2592,1944,1
2025-10-16T15:42:51.088,63.577,4.604,1290.000,980.500,6.000,-8.500,2592,1944,1
2025-10-16T15:42:51.404,64.266,4.196,1311.000,980.500,-15.000,-8.500,2592,1944,1
2025-10-16T15:42:51.585,64.266,4.196,1311.000,980.500,-15.000,-8.500,2592,1944,1
2025-10-16T15:42:51.873,64.932,4.628,1310.500,963.000,-14.500,9.000,2592,1944,1
2025-10-16T15:42:52.133,65.597,5.059,1310.500,963.000,-14.500,9.000,2592,1944,1
2025-10-16T15:42:52.443,65.620,5.514,1296.500,962.500,-0.500,9.500,2592,1944,1
2025-10-16T15:42:52.616,65.620,5.514,1296.500,962.500,-0.500,9.500,2592,1944,1
2025-10-16T15:42:52.914,64.933,5.346,1281.000,975.500,15.000,-3.500,2592,1944,1
2025-10-16T15:42:53.151,64.933,5.346,1281.000,975.500,15.000,-3.500,2592,1944,1
2025-10-16T15:42:53.455,64.658,5.179,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:53.684,64.658,5.179,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:54.013,64.382,5.011,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:54.191,64.382,5.011,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:54.598,64.107,4.843,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:54.776,64.107,4.843,1290.000,975.500,6.000,-3.500,2592,1944,1
2025-10-16T15:42:55.194,63.855,5.155,1290.500,965.500,5.500,6.500,2592,1944,1
2025-10-16T15:42:55.337,63.855,5.155,1290.500,965.500,5.500,6.500,2592,1944,1
2025-10-16T15:42:55.726,63.717,5.586,1293.000,963.000,3.000,9.000,2592,1944,1
2025-10-16T15:42:55.877,63.717,5.586,1293.000,963.000,3.000,9.000,2592,1944,1
2025-10-16T15:42:56.101,64.382,5.538,1310.500,973.000,-14.500,-1.000,2592,1944,1
2025-10-16T15:42:56.333,64.382,5.538,1310.500,973.000,-14.500,-1.000,2592,1944,1
2025-10-16T15:42:56.620,64.496,5.466,1298.500,973.500,-2.500,-1.500,2592,1944,1
2025-10-16T15:42:56.855,64.496,5.466,1298.500,973.500,-2.500,-1.500,2592,1944,1
2025-10-16T15:42:57.151,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:57.379,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:57.709,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:57.991,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:58.323,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:58.453,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:42:58.838,64.542,5.394,1297.000,974.000,-1.000,-2.000,2592,1944,1
2025-10-16T15:42:59.016,64.542,5.394,1297.000,974.000,-1.000,-2.000,2592,1944,1
2025-10-16T15:42:59.320,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:42:59.503,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:42:59.923,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:00.109,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:00.410,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:00.646,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:01.024,64.542,5.394,1297.000,972.500,-1.000,-0.500,2592,1944,1
2025-10-16T15:43:01.208,64.542,5.394,1297.000,972.500,-1.000,-0.500,2592,1944,1
2025-10-16T15:43:01.502,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:01.674,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:02.030,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:43:02.277,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:43:02.506,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:43:02.759,64.542,5.394,1296.500,973.500,-0.500,-1.500,2592,1944,1
2025-10-16T15:43:14.305,64.542,5.394,1297.000,972.000,-1.000,0.000,2592,1944,1
2025-10-16T15:43:14.488,64.542,5.394,1297.000,972.000,-1.000,0.000,2592,1944,1
2025-10-16T15:43:14.904,64.542,5.394,1296.500,972.500,-0.500,-0.500,2592,1944,1
2025-10-16T15:43:15.051,64.542,5.394,1296.500,972.500,-0.500,-0.500,2592,1944,1
2025-10-16T15:43:15.908,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:16.079,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:16.436,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:16.618,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:16.929,64.542,5.394,1296.500,973.000,-0.500,-1.000,2592,1944,1
2025-10-16T15:43:17.173,64.542,5.394,1296.500,973.000,-0.500,-1.000,2592,1944,1
2025-10-16T15:43:17.513,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:17.692,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:18.017,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:18.262,64.542,5.394,1297.000,973.500,-1.000,-1.500,2592,1944,1
2025-10-16T15:43:18.531,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:18.776,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:19.192,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:19.344,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:19.642,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:19.810,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
2025-10-16T15:43:20.123,64.542,5.394,1297.000,973.000,-1.000,-1.000,2592,1944,1
