ts,pan_cmd_deg,tilt_cmd_deg,mean_cx,mean_cy,err_x_px,err_y_px,W,H,n_dets
2025-09-30T04:26:22.414,57.185,8.123,701.500,1105.000,594.500,-133.000,2592,1944,1
2025-09-30T04:26:22.600,57.185,8.123,701.500,1105.000,594.500,-133.000,2592,1944,1
2025-09-30T04:26:22.953,57.185,8.123,867.500,1000.500,428.500,-28.500,2592,1944,1
2025-09-30T04:26:23.095,57.185,8.123,867.500,1000.500,428.500,-28.500,2592,1944,1
2025-09-30T04:26:23.446,57.185,8.123,1241.000,991.500,55.000,-19.500,2592,1944,1
2025-09-30T04:26:23.640,57.185,8.123,1241.000,991.500,55.000,-19.500,2592,1944,1
2025-09-30T04:26:23.992,57.185,8.123,1270.500,992.000,25.500,-20.000,2592,1944,1
2025-09-30T04:26:24.188,57.185,8.123,1270.500,992.000,25.500,-20.000,2592,1944,1
2025-09-30T04:26:24.480,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:24.681,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:25.083,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:25.276,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:25.637,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:25.839,57.185,8.123,1271.000,992.000,25.000,-20.000,2592,1944,1
2025-09-30T04:26:26.136,57.185,8.123,1270.500,992.000,25.500,-20.000,2592,1944,1
2025-09-30T04:26:26.348,57.185,8.123,1270.500,992.000,25.500,-20.000,2592,1944,1
2025-09-30T04:26:27.215,57.185,8.123,1271.000,991.500,25.000,-19.500,2592,1944,1
2025-09-30T04:26:27.342,57.185,8.123,1271.000,991.500,25.000,-19.500,2592,1944,1
2025-09-30T04:26:27.714,57.185,8.123,1269.500,977.000,26.500,-5.000,2592,1944,1
2025-09-30T04:26:27.945,57.185,8.123,1269.500,977.000,26.500,-5.000,2592,1944,1
2025-09-30T04:26:28.245,57.185,8.123,1257.000,875.000,39.000,97.000,2592,1944,1
2025-09-30T04:26:28.439,57.185,8.123,1257.000,875.000,39.000,97.000,2592,1944,1
2025-09-30T04:26:28.808,57.185,8.123,1271.000,884.500,25.000,87.500,2592,1944,1
2025-09-30T04:26:28.935,57.185,8.123,1271.000,884.500,25.000,87.500,2592,1944,1
2025-09-30T04:26:30.378,57.185,8.123,1267.000,883.000,29.000,89.000,2592,1944,1
2025-09-30T04:26:30.583,57.185,8.123,1267.000,883.000,29.000,89.000,2592,1944,1
2025-09-30T04:26:30.949,57.185,8.123,1268.000,882.500,28.000,89.500,2592,1944,1
2025-09-30T04:26:31.085,57.185,8.123,1268.000,882.500,28.000,89.500,2592,1944,1
