epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2984,2.02701,5.33115,0.84739,0.08355,0.37209,0.0394,0.01306,1.8032,135.022,0.78407,0.000659933,0.000659933,0.000659933
2,35.5398,2.22692,1.89124,0.86162,0.00049,0.08721,0.00024,0.00012,2.48041,5807.68,1.33195,0.00132609,0.00132609,0.00132609
3,52.3014,2.19882,1.46974,0.80928,0.70169,0.30814,0.30467,0.14985,1.30723,1.4089,0.68958,0.00199022,0.00199022,0.00199022
4,68.9186,2.20586,1.19625,0.83315,0.67188,0.27907,0.36314,0.17498,1.91809,0.96043,0.80377,0.00199314,0.00199314,0.00199314
5,85.6329,2.42183,1.26742,0.8681,0.35371,0.29593,0.1771,0.06447,2.24639,3.13707,0.87015,0.00198781,0.00198781,0.00198781
6,102.208,2.26324,1.18388,0.84176,0.54218,0.26163,0.26959,0.11487,1.68689,0.92469,0.72719,0.00198098,0.00198098,0.00198098
7,118.807,2.12763,1.15323,0.84917,0.74229,0.48837,0.54423,0.26369,1.90667,0.84124,0.76677,0.00197265,0.00197265,0.00197265
8,135.565,2.12424,0.98741,0.86643,0.66517,0.24257,0.30514,0.14695,1.97422,1.4538,0.79492,0.00196283,0.00196283,0.00196283
9,152.475,2.09629,1.04168,0.81709,0.74256,0.50311,0.5528,0.26541,1.70599,0.80026,0.7674,0.00195155,0.00195155,0.00195155
10,169.37,2.0942,1.03922,0.83636,0.69341,0.49419,0.53256,0.24423,1.65684,0.74306,0.76187,0.00193881,0.00193881,0.00193881
11,185.807,1.98285,0.9025,0.83623,0.73406,0.4012,0.47066,0.22678,1.62083,1.40838,0.756,0.00192464,0.00192464,0.00192464
12,201.816,1.95056,0.90624,0.80445,0.72328,0.52907,0.57586,0.27772,1.59683,0.81114,0.74908,0.00190906,0.00190906,0.00190906
13,217.809,2.0131,0.92947,0.85499,0.75326,0.44374,0.51243,0.22643,1.92536,0.76724,0.77561,0.0018921,0.0018921,0.0018921
14,233.587,1.97347,0.86414,0.80919,0.90904,0.46482,0.5314,0.23864,1.69868,0.78344,0.74995,0.00187377,0.00187377,0.00187377
15,249.295,1.75834,0.863,0.77187,0.79078,0.47093,0.582,0.31608,1.57354,0.98386,0.74628,0.00185411,0.00185411,0.00185411
16,265.237,1.71071,0.86439,0.78687,0.77857,0.49064,0.59371,0.33231,1.51842,0.80227,0.75227,0.00183315,0.00183315,0.00183315
17,281.025,1.77008,0.8873,0.76981,0.79074,0.53488,0.60158,0.30123,1.4583,0.6588,0.73205,0.00181093,0.00181093,0.00181093
18,296.854,1.59854,0.72447,0.73414,0.84521,0.53969,0.62595,0.31116,1.4611,0.63519,0.71731,0.00178746,0.00178746,0.00178746
19,312.429,1.63924,0.72284,0.72326,0.8176,0.50581,0.63062,0.36993,1.37674,0.618,0.71662,0.0017628,0.0017628,0.0017628
20,328.413,1.79169,0.90831,0.81486,0.7552,0.51744,0.56218,0.30067,1.38839,0.59317,0.71795,0.00173698,0.00173698,0.00173698
21,344.058,1.64929,0.82318,0.74013,0.81593,0.47674,0.57712,0.29875,1.64505,0.68734,0.73471,0.00171004,0.00171004,0.00171004
22,359.753,1.83593,0.99323,0.80273,0.85775,0.45574,0.61589,0.3464,1.55834,0.80809,0.73855,0.00168201,0.00168201,0.00168201
23,375.651,1.77387,0.9533,0.79054,0.79899,0.4593,0.55064,0.30219,1.51562,0.92847,0.73221,0.00165295,0.00165295,0.00165295
24,391.573,1.69587,0.85023,0.82898,0.74604,0.50581,0.58879,0.34669,1.34382,0.56493,0.71472,0.0016229,0.0016229,0.0016229
25,407.289,1.69821,0.68845,0.79955,0.8413,0.54651,0.66152,0.37651,1.25258,0.61549,0.70943,0.00159191,0.00159191,0.00159191
26,424.01,1.40097,0.62436,0.77032,0.76353,0.50581,0.62027,0.36647,1.24905,0.54496,0.70389,0.00156001,0.00156001,0.00156001
27,440.3,1.45661,0.68511,0.72811,0.75563,0.52137,0.63254,0.36564,1.30585,0.543,0.71053,0.00152727,0.00152727,0.00152727
28,456.792,1.63006,0.72067,0.7728,0.84877,0.54651,0.66273,0.35735,1.43245,0.63336,0.73172,0.00149374,0.00149374,0.00149374
29,473.25,1.70071,0.74448,0.79141,0.78957,0.5,0.60732,0.35095,1.35076,0.5917,0.71863,0.00145945,0.00145945,0.00145945
30,489.661,1.54408,0.649,0.78703,0.83757,0.53964,0.67165,0.38856,1.31625,0.68717,0.70635,0.00142447,0.00142447,0.00142447
31,506.404,1.55726,0.67703,0.7817,0.86358,0.49419,0.63092,0.32414,1.43357,0.59072,0.72431,0.00138886,0.00138886,0.00138886
32,522.773,1.50797,0.65378,0.75899,0.82673,0.57558,0.67112,0.38587,1.28598,0.5445,0.7233,0.00135266,0.00135266,0.00135266
