epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.169,1.00015,3.12487,0.4946,0.65603,0.41279,0.49617,0.25172,1.15405,0.85882,0.54738,0.00332654,0.00332654,0.00332654
2,189.019,1.28274,0.89228,0.54119,0.58826,0.44026,0.45423,0.19326,1.2938,0.87716,0.61946,0.0066597,0.0066597,0.0066597
3,278.391,1.50903,1.23978,0.65241,0.13454,0.15116,0.0585,0.01327,1.39483,2.31131,0.72346,0.00999213,0.00999213,0.00999213
4,368.68,1.46056,1.14241,0.64229,0.19612,0.34302,0.11656,0.03423,1.40327,8.83891,0.74808,0.00999756,0.00999756,0.00999756
5,459.361,1.43578,1.03836,0.67627,0.47177,0.32558,0.29876,0.09373,1.50113,0.92683,0.7486,0.00999566,0.00999566,0.00999566
6,548.338,1.36213,0.84227,0.61798,0.44333,0.36047,0.33026,0.09745,1.49922,0.97011,0.71891,0.00999322,0.00999322,0.00999322
7,637.441,1.47114,0.90114,0.68873,0.42633,0.40616,0.30211,0.10411,1.35771,0.8861,0.68571,0.00999023,0.00999023,0.00999023
8,726.075,1.37007,0.87064,0.61525,0.5517,0.29651,0.29871,0.11771,1.43974,1.14138,0.68805,0.00998671,0.00998671,0.00998671
9,814.262,1.38453,0.81455,0.61329,0.40828,0.4186,0.34704,0.12811,1.40608,0.85679,0.68584,0.00998264,0.00998264,0.00998264
10,901.729,1.30661,0.75873,0.59435,0.44185,0.4186,0.31934,0.12465,1.34488,0.93748,0.65325,0.00997803,0.00997803,0.00997803
11,990.409,1.33197,0.79274,0.59152,0.58679,0.51189,0.4462,0.17018,1.19437,0.85819,0.61029,0.00997288,0.00997288,0.00997288
12,1079.45,1.21724,0.68733,0.55832,0.65507,0.54651,0.51936,0.22871,1.23263,0.81334,0.61755,0.0099672,0.0099672,0.0099672
13,1168.72,1.34714,0.73639,0.63104,0.68271,0.50581,0.50781,0.21954,1.24402,0.69806,0.61867,0.00996097,0.00996097,0.00996097
14,1257.29,1.2509,0.6791,0.57768,0.51119,0.56395,0.41326,0.12709,1.38516,0.90426,0.65861,0.0099542,0.0099542,0.0099542
15,1346.61,1.27409,0.66099,0.5675,0.60072,0.58607,0.52165,0.16935,1.24766,0.67579,0.62252,0.0099469,0.0099469,0.0099469
16,1436.14,1.21831,0.65501,0.58712,0.74859,0.42442,0.51334,0.22563,1.1378,0.78701,0.59586,0.00993906,0.00993906,0.00993906
17,1526.08,1.18261,0.65422,0.56949,0.74473,0.59368,0.64632,0.23982,1.19164,0.63764,0.61024,0.00993068,0.00993068,0.00993068
18,1618.58,1.19072,0.63252,0.57002,0.7454,0.5447,0.62736,0.25517,1.19586,0.84106,0.60849,0.00992177,0.00992177,0.00992177
19,1707.92,1.06551,0.59866,0.53547,0.70035,0.50279,0.52795,0.21296,1.25755,0.9353,0.6187,0.00991232,0.00991232,0.00991232
20,1797.09,1.21167,0.61423,0.55704,0.7267,0.55814,0.63973,0.2596,1.27437,0.62568,0.60466,0.00990234,0.00990234,0.00990234
21,1885.85,1.12103,0.57027,0.53959,0.74146,0.49419,0.59386,0.24183,1.193,0.66164,0.60554,0.00989183,0.00989183,0.00989183
22,1974.54,1.13179,0.54699,0.54695,0.72907,0.62209,0.67499,0.29191,1.14152,0.58195,0.59028,0.00988079,0.00988079,0.00988079
23,2065.45,1.15954,0.55797,0.54406,0.7703,0.76163,0.78761,0.34324,1.09549,0.55646,0.58743,0.00986922,0.00986922,0.00986922
24,2154.55,1.08924,0.52806,0.51544,0.75761,0.61785,0.68296,0.27903,1.1781,0.56318,0.5906,0.00985711,0.00985711,0.00985711
25,2244.48,1.13153,0.5627,0.56678,0.73359,0.62436,0.70295,0.32626,1.09381,0.5613,0.56576,0.00984449,0.00984449,0.00984449
26,2334.98,1.10155,0.55993,0.53763,0.84973,0.69038,0.78734,0.34069,1.12318,0.55088,0.60098,0.00983133,0.00983133,0.00983133
27,2424.22,1.06136,0.53607,0.52447,0.76835,0.61711,0.7038,0.30925,1.11294,0.61069,0.57908,0.00981765,0.00981765,0.00981765
28,2515,1.09819,0.51896,0.53958,0.71047,0.74189,0.75746,0.37505,1.0475,0.5476,0.57239,0.00980345,0.00980345,0.00980345
